P,0.4136,0.27,1.166,0.14,0,0,0,0.28,0,0,0,0.56
C,0.4136,0.27,1.446,0.4136,0.27,1.621,0.07
S,0.4136,0.27,1.621,0.105
C,0.4136,0.41,1.396,0.4136,0.48,1.396,0.05
C,0.4136,0.48,1.396,0.4631,0.48,1.193,0.042
C,0.4631,0.48,1.193,0.6735,0.48,0.8783,0.042
C,0.4136,0.13,1.396,0.4136,0.06,1.396,0.05
C,0.4136,0.06,1.396,0.4178,0.06,1.187,0.042
C,0.4178,0.06,1.187,0.4919,0.06,0.8158,0.042
C,0.4136,0.34,0.8865,0.4137,0.34,0.4665,0.07
C,0.4137,0.34,0.4665,0.3872,0.34,0.08937,0.042
C,0.3727,0.34,0.07151,0.5552,0.34,0.04801,0.028
C,0.4136,0.2,0.8865,0.5573,0.2,0.4918,0.07
C,0.5573,0.2,0.4918,0.3355,0.2,0.1857,0.042
C,0.3164,0.2,0.1839,0.4914,0.2,0.1281,0.028
